weight[-25, -22, -4, 18, 4, -13, 17, 36, 0, 19, 47, -1, -22, -39, 42, 38, 47, -19, 4, -26, -10, -35, 28, 47, 11]
population size 200 target 40
mutation chance: 0.1selection percent 0.5
constraints [-50, 50]
STT,SELECTION METHOD,CROSSOVER METHOD,MUTATION METHOD,AVERAGE GENERATION, AVERAGE EXECUTION TIME 
157,RANK BASED,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,18,1.794
158,RANK BASED,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,38,3.885
159,RANK BASED,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,128,12.761
160,RANK BASED,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,42,4.201
161,RANK BASED,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,23,2.287
162,RANK BASED,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,35,3.485
163,RANK BASED,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,16,1.628
164,RANK BASED,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,0,0.001
165,RANK BASED,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,59,5.954
166,RANK BASED,UNIFORM RANDOM CROSS,INORDER MUTATION,167,18.915
167,RANK BASED,UNIFORM RANDOM CROSS,INORDER MUTATION,16,1.723
168,RANK BASED,UNIFORM RANDOM CROSS,INORDER MUTATION,46,4.871
169,RANK BASED,UNIFORM RANDOM CROSS,INORDER MUTATION,140,14.763
170,RANK BASED,UNIFORM RANDOM CROSS,INORDER MUTATION,6,0.632
171,RANK BASED,UNIFORM RANDOM CROSS,INORDER MUTATION,21,2.244
172,RANK BASED,UNIFORM RANDOM CROSS,INORDER MUTATION,1,0.112
173,RANK BASED,UNIFORM RANDOM CROSS,INORDER MUTATION,78,8.324
174,RANK BASED,UNIFORM RANDOM CROSS,INORDER MUTATION,8,0.811
175,RANK BASED,UNIFORM RANDOM CROSS,INORDER MUTATION,48,4.991
176,RANK BASED,UNIFORM RANDOM CROSS,INORDER MUTATION,11,1.118
177,RANK BASED,UNIFORM RANDOM CROSS,INORDER MUTATION,115,11.768
178,RANK BASED,UNIFORM RANDOM CROSS,INORDER MUTATION,32,3.336
179,RANK BASED,UNIFORM RANDOM CROSS,INORDER MUTATION,116,12.323
180,RANK BASED,UNIFORM RANDOM CROSS,INORDER MUTATION,4,0.408
181,RANDOM SELECTION,ONE POINT CROSS,UNIFROM RANDOM MUTATION,5,0.089
182,RANDOM SELECTION,ONE POINT CROSS,UNIFROM RANDOM MUTATION,11,0.247
183,RANDOM SELECTION,ONE POINT CROSS,UNIFROM RANDOM MUTATION,123,2.085
184,RANDOM SELECTION,ONE POINT CROSS,UNIFROM RANDOM MUTATION,31,0.521
185,RANDOM SELECTION,ONE POINT CROSS,UNIFROM RANDOM MUTATION,24,0.404
186,RANDOM SELECTION,ONE POINT CROSS,UNIFROM RANDOM MUTATION,185,3.242
187,RANDOM SELECTION,ONE POINT CROSS,UNIFROM RANDOM MUTATION,40,0.674
188,RANDOM SELECTION,ONE POINT CROSS,UNIFROM RANDOM MUTATION,15,0.258
189,RANDOM SELECTION,ONE POINT CROSS,UNIFROM RANDOM MUTATION,12,0.207
190,RANDOM SELECTION,ONE POINT CROSS,UNIFROM RANDOM MUTATION,91,1.522
191,RANDOM SELECTION,ONE POINT CROSS,UNIFROM RANDOM MUTATION,41,0.687
192,RANDOM SELECTION,ONE POINT CROSS,UNIFROM RANDOM MUTATION,1,0.026
193,RANDOM SELECTION,ONE POINT CROSS,UNIFROM RANDOM MUTATION,2,0.042
194,RANDOM SELECTION,ONE POINT CROSS,UNIFROM RANDOM MUTATION,71,1.19
195,RANDOM SELECTION,ONE POINT CROSS,UNIFROM RANDOM MUTATION,83,1.39
196,RANDOM SELECTION,ONE POINT CROSS,INORDER MUTATION,108,1.924
197,RANDOM SELECTION,ONE POINT CROSS,INORDER MUTATION,10,0.195
198,RANDOM SELECTION,ONE POINT CROSS,INORDER MUTATION,107,1.83
199,RANDOM SELECTION,ONE POINT CROSS,INORDER MUTATION,167,2.828
200,RANDOM SELECTION,ONE POINT CROSS,INORDER MUTATION,10,0.179
201,RANDOM SELECTION,ONE POINT CROSS,INORDER MUTATION,32,0.548
202,RANDOM SELECTION,ONE POINT CROSS,INORDER MUTATION,16,0.289
203,RANDOM SELECTION,ONE POINT CROSS,INORDER MUTATION,109,1.95
204,RANDOM SELECTION,ONE POINT CROSS,INORDER MUTATION,20,0.353
205,RANDOM SELECTION,ONE POINT CROSS,INORDER MUTATION,374,6.358
206,RANDOM SELECTION,ONE POINT CROSS,INORDER MUTATION,96,1.625
207,RANDOM SELECTION,ONE POINT CROSS,INORDER MUTATION,195,3.301
208,RANDOM SELECTION,ONE POINT CROSS,INORDER MUTATION,80,1.375
209,RANDOM SELECTION,ONE POINT CROSS,INORDER MUTATION,23,0.399
210,RANDOM SELECTION,ONE POINT CROSS,INORDER MUTATION,268,4.538
211,RANDOM SELECTION,TWO POINT CROSS,UNIFROM RANDOM MUTATION,13,3.319
212,RANDOM SELECTION,TWO POINT CROSS,UNIFROM RANDOM MUTATION,28,6.836
213,RANDOM SELECTION,TWO POINT CROSS,UNIFROM RANDOM MUTATION,62,15.094
214,RANDOM SELECTION,TWO POINT CROSS,UNIFROM RANDOM MUTATION,7,1.695
215,RANDOM SELECTION,TWO POINT CROSS,UNIFROM RANDOM MUTATION,74,18.034
216,RANDOM SELECTION,TWO POINT CROSS,UNIFROM RANDOM MUTATION,103,25.133
217,RANDOM SELECTION,TWO POINT CROSS,UNIFROM RANDOM MUTATION,54,13.2
218,RANDOM SELECTION,TWO POINT CROSS,UNIFROM RANDOM MUTATION,92,23.202
219,RANDOM SELECTION,TWO POINT CROSS,UNIFROM RANDOM MUTATION,7,1.824
220,RANDOM SELECTION,TWO POINT CROSS,UNIFROM RANDOM MUTATION,92,22.893
221,RANDOM SELECTION,TWO POINT CROSS,UNIFROM RANDOM MUTATION,54,14.018
222,RANDOM SELECTION,TWO POINT CROSS,UNIFROM RANDOM MUTATION,36,8.818
223,RANDOM SELECTION,TWO POINT CROSS,UNIFROM RANDOM MUTATION,22,5.371
224,RANDOM SELECTION,TWO POINT CROSS,UNIFROM RANDOM MUTATION,27,7.152
225,RANDOM SELECTION,TWO POINT CROSS,UNIFROM RANDOM MUTATION,13,3.173
226,RANDOM SELECTION,TWO POINT CROSS,INORDER MUTATION,211,54.371
227,RANDOM SELECTION,TWO POINT CROSS,INORDER MUTATION,389,97.43
228,RANDOM SELECTION,TWO POINT CROSS,INORDER MUTATION,197,52.373
229,RANDOM SELECTION,TWO POINT CROSS,INORDER MUTATION,102,25.947
230,RANDOM SELECTION,TWO POINT CROSS,INORDER MUTATION,2,0.637
231,RANDOM SELECTION,TWO POINT CROSS,INORDER MUTATION,129,37.833
232,RANDOM SELECTION,TWO POINT CROSS,INORDER MUTATION,29,9.014
233,RANDOM SELECTION,TWO POINT CROSS,INORDER MUTATION,168,66.063
234,RANDOM SELECTION,TWO POINT CROSS,INORDER MUTATION,29,12.686
235,RANDOM SELECTION,TWO POINT CROSS,INORDER MUTATION,38,16.649
236,RANDOM SELECTION,TWO POINT CROSS,INORDER MUTATION,53,23.311
237,RANDOM SELECTION,TWO POINT CROSS,INORDER MUTATION,242,74.848
238,RANDOM SELECTION,TWO POINT CROSS,INORDER MUTATION,43,10.327
239,RANDOM SELECTION,TWO POINT CROSS,INORDER MUTATION,53,12.704
240,RANDOM SELECTION,TWO POINT CROSS,INORDER MUTATION,12,2.878
241,RANDOM SELECTION,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,14,1.324
242,RANDOM SELECTION,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,48,4.458
243,RANDOM SELECTION,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,28,2.614
244,RANDOM SELECTION,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,92,8.538
245,RANDOM SELECTION,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,25,2.327
246,RANDOM SELECTION,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,231,21.52
247,RANDOM SELECTION,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,13,1.222
248,RANDOM SELECTION,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,20,1.867
249,RANDOM SELECTION,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,32,2.998
250,RANDOM SELECTION,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,138,12.886
