,TS_OX1_RS,TS_OX1_SM,TS_OX1_SCM,TS_OX1_IM
128,-17346.332089461383,-13758.138943852256,-14902.353971354763,-14715.488797459646
129,-17348.341297357932,-13758.138943852256,-14902.353971354763,-14715.488797459646
130,-17346.332089461383,-13758.138943852256,-14902.353971354763,-14715.488797459646
131,-17346.332089461383,-13283.975006857878,-14902.353971354763,-14715.488797459646
132,-17346.332089461383,-13307.333739374475,-14902.353971354763,-14715.488797459646
133,-17346.332089461383,-13336.594580543468,-14902.353971354763,-14715.488797459646
134,-17346.332089461383,-13336.594580543468,-14902.353971354763,-14715.488797459646
135,-17660.896077140267,-13307.333739374475,-14902.353971354763,-14715.488797459646
136,-17660.896077140267,-13409.409742467933,-14902.353971354763,-15009.035474506309
137,-17660.896077140267,-12965.12058675186,-14902.353971354763,-15009.035474506303
138,-17744.36405396769,-13042.937539682534,-14902.353971354763,-14954.996100329476
139,-17660.896077140267,-13056.204580872143,-14902.353971354763,-14985.170890330295
140,-17662.877228621608,-12817.495687076465,-14902.353971354763,-14954.996100329476
141,-17660.896077140267,-12672.930543649623,-14902.353971354763,-14954.996100329476
142,-17660.896077140267,-12664.349024606114,-14902.353971354763,-15158.109198402593
143,-17660.896077140267,-12664.349024606114,-14902.353971354763,-14954.996100329476
144,-17731.741699801536,-12664.349024606116,-14902.353971354763,-15233.079369955132
145,-17731.741699801536,-13354.817326835495,-14902.353971354763,-15233.079369955132
146,-17661.690760572143,-12826.441406833943,-14902.353971354763,-15177.306705146479
147,-17661.690760572143,-13439.953104312355,-14902.353971354763,-14954.996100329476
148,-17691.885026798507,-13439.953104312355,-14903.37568910818,-15066.67024708072
149,-17691.885026798507,-13439.953104312355,-14902.353971354763,-14954.996100329476
150,-17691.885026798507,-13405.489200929875,-14902.353971354763,-14954.996100329476
151,-17692.679710230375,-13405.489200929875,-14902.353971354763,-14715.488797459648
152,-17692.679710230375,-13405.489200929875,-14902.353971354763,-14715.488797459648
153,-17692.679710230375,-13405.489200929873,-14902.353971354763,-14715.488797459648
154,-17701.698669114532,-13405.489200929873,-14902.353971354763,-14715.488797459648
155,-17706.702354986945,-13405.489200929873,-14902.353971354763,-14715.488797459648
156,-17707.497038418813,-13405.489200929873,-14902.353971354763,-14715.488797459648
157,-17716.51599730297,-13405.489200929873,-14902.353971354763,-14715.488797459648
158,-17707.497038418813,-13001.67063436578,-14902.353971354763,-14715.488797459648
159,-17716.51599730297,-13001.670634365786,-14902.353971354763,-14715.488797459648
160,-17716.51599730297,-13001.670634365786,-14902.353971354763,-14715.488797459648
161,-17716.51599730297,-13001.670634365786,-14902.353971354763,-14715.488797459648
162,-17719.441847495327,-13001.670634365786,-14902.353971354763,-14715.488797459648
163,-17719.441847495327,-12970.421087619092,-14902.353971354763,-14715.488797459648
164,-17989.36592028431,-13001.670634365792,-14902.353971354763,-14715.488797459648
165,-17989.36592028431,-12970.421087619092,-14902.353971354763,-14715.488797459648
166,-17719.441847495327,-12970.421087619092,-14902.353971354763,-14715.488797459648
167,-18470.959843165707,-12970.421087619092,-14902.353971354763,-14715.488797459648
168,-17729.84414599258,-12970.421087619094,-14902.353971354763,-14715.488797459648
169,-17729.84414599258,-13133.746055905971,-14902.353971354763,-14715.488797459648
170,-17732.76999618495,-13426.452215073628,-14902.353971354763,-14715.488797459648
171,-17732.76999618495,-13426.452215073628,-14902.353971354763,-14715.488797459648
172,-17732.76999618495,-12970.421087619094,-14902.353971354763,-14715.488797459648
173,-17741.031919735255,-13146.688480026765,-14902.353971354763,-14715.488797459648
174,-17738.106069542897,-13001.670634365784,-14902.353971354763,-14715.488797459648
175,-17732.76999618495,-13085.465691775726,-14902.353971354763,-14715.488797459648
176,-17741.396544181523,-13001.670634365784,-14902.353971354763,-14715.488797459648
177,-17768.544282915525,-13001.670634365784,-14902.353971354763,-14715.488797459648
178,-17741.396544181523,-13001.670634365784,-14902.353971354763,-14715.488797459648
179,-17741.396544181523,-13269.042985416823,-14902.353971354763,-14715.488797459648
180,-17741.396544181523,-13269.042985416823,-14902.353971354763,-14715.488797459648
181,-17741.396544181523,-13413.679026674105,-14902.353971354763,-14715.488797459648
182,-17741.406405942627,-13413.679026674105,-14902.353971354763,-14715.488797459648
183,-17747.483733404,-13700.715197567604,-14902.353971354763,-14715.488797459648
184,-17747.483733404,-13700.715197567604,-14902.353971354763,-14715.488797459648
185,-17747.493595165102,-13400.76668650878,-14902.353971354763,-14715.488797459648
186,-17753.351184967745,-13574.341623067226,-14902.353971354763,-14715.488797459648
187,-17753.351184967745,-13574.341623067226,-14902.353971354763,-14715.488797459648
188,-18083.53434587022,-13574.341623067226,-14902.353971354763,-14715.488797459648
189,-17753.36104672885,-13574.341623067226,-14902.353971354763,-14715.488797459648
190,-18119.25614343081,-13868.363543213163,-14902.353971354763,-14715.488797459648
191,-18125.343332653287,-13574.341623067228,-14902.353971354763,-14715.488797459648
